order_id,order_status,order_purchase_timestamp,order_delivered_customer_date,delivery_days,product_category_name,price,freight_value,product_weight_g,customer_id
e481f51cbdc54678b7cc49136f2d6af7,delivered,2017-10-02 10:56:33,2017-10-10 21:25:13,8.0,utilidades_domesticas,29.99,8.72,500.0,9ef432eb6251297304e76186b10a928d
53cdb2fc8bc7dce0b6741e2150273451,delivered,2018-07-24 20:41:37,2018-08-07 15:27:45,13.0,perfumaria,118.7,22.76,400.0,b0830fb4747a6c6d20dea0b8c802d7ef
47770eb9100c2d0c44946d9cf07ec65d,delivered,2018-08-08 08:38:49,2018-08-17 18:06:29,9.0,automotivo,159.9,19.22,420.0,41ce2a54c0b03bf3443c3d931a367089
949d5b44dbf5de918fe9c16f97b45f8a,delivered,2017-11-18 19:28:06,2017-12-02 00:28:42,13.0,pet_shop,45.0,27.2,450.0,f88197465ea7920adcdbec7375364d82
ad21c59c0840e6cb83a9ceb5573f8159,delivered,2018-02-13 21:18:39,2018-02-16 18:17:02,2.0,papelaria,19.9,8.72,250.0,8ab97904e6daea8866dbdbc4fb7aad2c
a4591c265e18cb1dcee52889e2d8acc3,delivered,2017-07-09 21:57:05,2017-07-26 10:57:55,16.0,automotivo,147.9,27.36,7150.0,503740e9ca751ccdda7ba28e9ab8f608
136cce7faa42fdb2cefd53fdc79a6098,invoiced,2017-04-11 12:22:08,,,,49.9,16.05,600.0,ed0271e0b7da060a393796590e7b737a
6514b8ad8028c9f2cc2374ded245783f,delivered,2017-05-16 13:10:30,2017-05-26 12:55:51,9.0,automotivo,59.99,15.17,50.0,9bdf08b4b3b52b5526ff42d37d47f222
76c6e866289321a7c93b82b54852dc33,delivered,2017-01-23 18:29:09,2017-02-02 14:08:10,9.0,moveis_decoracao,19.9,16.05,300.0,f54a9f0e6b351c431402b8461ea51999
e69bfb5eb88e0ed6a785585b27e16dbf,delivered,2017-07-29 11:55:02,2017-08-16 17:14:30,18.0,moveis_escritorio,149.99,19.77,9750.0,31ad1d1b63eb9962463f764d4e6e0c9d
e6ce16cb79ec1d90b1da9085a6118aeb,delivered,2017-05-16 19:41:10,2017-05-29 11:18:31,12.0,ferramentas_jardim,99.0,30.53,9000.0,494dded5b201313c64ed7f100595b95c
e6ce16cb79ec1d90b1da9085a6118aeb,delivered,2017-05-16 19:41:10,2017-05-29 11:18:31,12.0,ferramentas_jardim,99.0,30.53,9000.0,494dded5b201313c64ed7f100595b95c
34513ce0c4fab462a55830c0989c7edb,delivered,2017-07-13 19:58:11,2017-07-19 14:04:48,5.0,informatica_acessorios,98.0,16.13,325.0,7711cf624183d843aafe81855097bc37
82566a660a982b15fb86e904c8d32918,delivered,2018-06-07 10:06:19,2018-06-19 12:05:52,12.0,perfumaria,31.9,18.23,450.0,d3e3b74c766bc6214e0c830b17ee2341
5ff96c15d0b717ac6ad1f3d77225a350,delivered,2018-07-25 17:44:10,2018-07-30 15:52:25,4.0,cama_mesa_banho,19.9,12.8,200.0,19402a48fe860416adf93348aba37740
432aaf21d85167c2c86ec9448c4e42cc,delivered,2018-03-01 14:14:28,2018-03-12 23:36:26,11.0,brinquedos,38.25,16.11,583.0,3df704f53d3f1d4818840b34ec672a9f
